game_id,name,category
267058,300: Earth & Water,Long
173346,7 Wonders Duel,Normal
309116,7 Wonders Duel: Agora,Normal
202976,7 Wonders Duel: Pantheon,Normal
5,Acquire,Normal
191189,Aeon's End,Normal
365950,Aeon's End: Evolution,Normal
364530,Aeon's End: Origins,Normal
200680,Agricola (Revised Edition),Normal
285967,Ankh: Gods of Egypt,Long
308505,Ankh: Gods of Egypt – Pharaoh,Long
342942,Ark Nova,Normal
21059,Arkham Horror: Dunwich Horror Expansion,Campaign
377055,Arkham Horror: The Card Game – The Forgotten Age: Campaign Expansion,Campaign
377056,Arkham Horror: The Card Game – The Forgotten Age: Investigator Expansion,Campaign
225563,Arkham Horror: The Card Game – The Path to Carcosa: Expansion,Campaign
359609,Arkham Horror: The Card Game (Revised Edition),Campaign
230802,Azul,Normal
148767,Brandon the Brave,Kids
290236,Canvas,Kids
329954,Carcassonne: 20th Anniversary Edition,Normal
310873,Carnegie,Long
295947,Cascadia,Normal
271320,The Castles of Burgundy,Normal
171,Chess,Normal
224037,Codenames: Duet,Normal
259066,Commands & Colors: Samurai Battles,Long
209418,Dominion (Second Edition),Normal
209419,Dominion: Intrigue (Second Edition),Normal
199792,Everdell,Normal
177736,A Feast for Odin,Long
216788,A Feast for Odin: The Norwegians,Long
352574,Fit to Print,Four Player
338376,A Gest of Robin Hood,Normal
182874,Grand Austria Hotel,Normal
320780,Grand Austria Hotel: Let's Waltz!,Normal
2655,Hive,Normal
70704,Hive: The Ladybug,ignore
30323,Hive: The Mosquito,ignore
139666,Hive: The Pillbug,ignore
54043,Jaipur,Normal
386937,Lacuna,Kids
336929,Land vs Sea,Normal
50,Lost Cities,Normal
312484,Lost Ruins of Arnak,Normal
10630,Memoir '44,Long
1406,Monopoly,Four Player
231733,Obsession,Normal
160477,Onitama,Normal
219326,Onitama: Sensei's Path,Normal
252999,Onitama: Way of the Wind,Normal
260180,Project L,Normal
287508,Project L: Finesse,Normal
284988,Project L: Ghost Piece,Normal
25669,Qwirkle,Normal
91514,Rhino Hero,Kids
66056,Rivals for Catan,Normal
93401,Rivals for Catan: Age of Darkness,Normal
127437,Rivals for Catan: Age of Enlightenment,Normal
402663,Salton Sea,Long
320,Scrabble,Normal
373106,Sky Team,Normal
255984,Sleeping Gods,Campaign
162886,Spirit Island,Long
147020,Star Realms,Normal
166702,Star Realms: Crisis – Bases & Battleships,ignore
166707,Star Realms: Crisis – Events,ignore
166708,Star Realms: Crisis – Heroes,ignore
118048,Targi,Normal
202453,Targi: The Expansion,Normal
120677,Terra Mystica,Long
9209,Ticket to Ride,Four Player
382834,Trail Story: America,Normal
12333,Twilight Struggle,Long
159566,Unicorn Glitterluck: Cloud Crystals,Kids
183394,Viticulture Essential Edition,Normal
360226,Viticulture World: Cooperative Expansion,Long
193823,Viticulture: Moor Visitors Expansion,Normal
248929,Viticulture: Visit from the Rhine Valley,Normal
351991,Worldbreakers: Advent of the Khanate,Normal
7854,YINSH,Normal
